Date,Hour,Minute,DayOfWeek,IsWeekend,Location,Weather,VehicleCount,AverageSpeed,Congestion
2025-04-08,16,30,1,0,Prem Nagar,Clear,398,50.1,Low
2025-06-06,11,30,4,0,Prem Nagar,Fog,429,44.3,Low
2025-11-16,10,45,6,1,Clock Tower,Cloudy,713,41.8,Medium
2025-04-13,17,15,6,1,Dharampur Chowk,Clear,951,37.6,Medium
2025-02-27,7,15,3,0,Prem Nagar,Cloudy,493,49.4,Low
2025-05-28,6,30,2,0,Dharampur Chowk,Clear,639,45.6,Low
2025-06-06,20,45,4,0,Clock Tower,Rain,566,42.4,Low
2025-04-18,12,15,4,0,Prem Nagar,Rain,371,51.0,Low
2025-10-08,21,15,2,0,Dharampur Chowk,Clear,432,49.4,Low
2025-07-12,22,0,5,1,ISBT,Cloudy,792,43.7,Medium
2025-01-31,15,15,4,0,Dharampur Chowk,Rain,489,41.9,Low
2025-01-28,20,0,1,0,Clock Tower,Fog,512,43.8,Low
2025-12-05,14,30,4,0,Clock Tower,Clear,832,47.7,Medium
2025-05-30,18,15,4,0,Ballupur Chowk,Clear,1238,36.5,High
2025-06-11,21,0,2,0,Rajpur Road,Cloudy,579,48.5,Low
2025-09-14,20,0,6,1,Clock Tower,Cloudy,459,49.8,Low
2025-09-29,15,30,0,0,Ballupur Chowk,Fog,668,33.4,Medium
2025-03-22,6,30,5,1,Dharampur Chowk,Rain,444,41.7,Low
2025-07-01,15,15,1,0,Prem Nagar,Rain,472,43.3,Low
2025-02-01,14,45,5,1,Clock Tower,Rain,720,41.2,Medium
2025-04-26,10,30,5,1,Ballupur Chowk,Cloudy,709,44.3,Medium
2025-02-14,18,15,4,0,Ballupur Chowk,Cloudy,1477,30.0,High
2025-10-21,10,45,1,0,ISBT,Rain,559,43.4,Low
2025-08-18,10,15,0,0,Dharampur Chowk,Cloudy,707,46.0,Medium
2025-10-25,12,15,5,1,ISBT,Cloudy,605,46.4,Low
2025-08-09,10,15,5,1,ISBT,Clear,500,49.7,Low
2025-10-13,9,15,0,0,ISBT,Cloudy,1555,31.4,High
2025-01-16,16,45,3,0,Ballupur Chowk,Rain,532,43.2,Low
2025-08-15,14,15,4,0,Rajpur Road,Clear,862,42.5,Medium
2025-03-09,11,0,6,1,Prem Nagar,Rain,540,41.5,Low
2025-11-07,13,15,4,0,Rajpur Road,Clear,868,40.7,Medium
2025-07-03,8,45,3,0,Rajpur Road,Fog,995,32.2,Medium
2025-12-31,17,15,2,0,Ballupur Chowk,Fog,1029,36.3,Medium
2025-08-31,10,15,6,1,Rajpur Road,Cloudy,635,44.1,Low
2025-01-17,19,0,4,0,ISBT,Fog,1057,34.9,High
2025-04-24,12,15,3,0,Clock Tower,Cloudy,636,48.3,Low
2025-08-13,21,30,2,0,Ballupur Chowk,Cloudy,507,50.4,Low
2025-08-07,18,0,3,0,Prem Nagar,Fog,735,38.7,Medium
2025-06-10,18,0,1,0,Prem Nagar,Clear,1041,37.3,Medium
2025-08-20,20,0,2,0,Rajpur Road,Fog,435,42.8,Low
2025-01-21,18,0,1,0,Rajpur Road,Rain,1131,35.6,High
2025-08-14,18,30,3,0,ISBT,Fog,1364,22.8,High
2025-03-27,19,30,3,0,Prem Nagar,Clear,1169,38.6,High
2025-12-20,22,15,5,1,Ballupur Chowk,Fog,359,37.9,Low
2025-02-16,22,0,6,1,Rajpur Road,Cloudy,506,50.5,Low
2025-07-21,19,30,0,0,Ballupur Chowk,Clear,1341,40.4,High
2025-04-02,20,15,2,0,Ballupur Chowk,Clear,517,47.6,Low
2025-05-09,16,15,4,0,Dharampur Chowk,Clear,460,49.5,Low
2025-02-16,9,45,6,1,Dharampur Chowk,Rain,928,35.5,Medium
2025-02-13,22,45,3,0,Dharampur Chowk,Cloudy,380,50.2,Low
2025-07-13,18,0,6,1,Rajpur Road,Rain,989,37.1,Medium
2025-10-17,10,15,4,0,Rajpur Road,Cloudy,713,41.6,Medium
2025-12-31,7,45,2,0,ISBT,Rain,690,43.7,Medium
2025-08-17,15,15,6,1,Clock Tower,Cloudy,445,49.6,Low
2025-04-14,6,30,0,0,Clock Tower,Fog,486,39.8,Low
2025-09-12,21,0,4,0,Prem Nagar,Fog,417,39.6,Low
2025-05-02,12,45,4,0,Ballupur Chowk,Fog,452,40.6,Low
2025-08-15,8,0,4,0,Rajpur Road,Rain,966,32.9,Medium
2025-11-14,12,0,4,0,Rajpur Road,Cloudy,668,42.0,Medium
2025-01-29,17,0,2,0,Rajpur Road,Clear,1301,37.8,High
2025-12-08,15,30,0,0,Clock Tower,Clear,520,45.5,Low
2025-02-25,19,15,1,0,Rajpur Road,Rain,1218,29.7,High
2025-11-09,11,45,6,1,Dharampur Chowk,Rain,391,45.8,Low
2025-01-19,8,30,6,1,ISBT,Rain,1144,32.9,High
2025-07-14,8,45,0,0,Prem Nagar,Clear,927,46.0,Medium
2025-05-30,21,15,4,0,Clock Tower,Rain,731,42.5,Medium
2025-06-18,22,45,2,0,Prem Nagar,Cloudy,518,45.2,Low
2025-12-23,12,0,1,0,Clock Tower,Clear,591,48.1,Low
2025-09-05,15,45,4,0,Prem Nagar,Rain,472,47.5,Low
2025-05-13,22,30,1,0,Rajpur Road,Fog,520,35.1,Low
2025-09-24,21,45,2,0,Rajpur Road,Cloudy,698,42.0,Medium
2025-12-29,15,15,0,0,Clock Tower,Clear,627,46.8,Low
2025-01-13,20,0,0,0,Dharampur Chowk,Cloudy,748,53.6,Medium
2025-11-12,19,45,2,0,Clock Tower,Rain,1312,30.7,High
2025-06-29,12,0,6,1,Dharampur Chowk,Cloudy,543,49.9,Low
2025-12-20,15,30,5,1,Clock Tower,Rain,477,48.6,Low
2025-06-03,22,30,1,0,Clock Tower,Clear,676,46.8,Medium
2025-12-18,16,30,3,0,Ballupur Chowk,Clear,687,46.5,Medium
2025-03-31,12,30,0,0,ISBT,Fog,632,36.1,Low
2025-08-31,7,15,6,1,Ballupur Chowk,Cloudy,520,44.3,Low
2025-11-18,20,30,1,0,Ballupur Chowk,Fog,542,41.6,Low
2025-01-29,22,30,2,0,Prem Nagar,Rain,475,48.2,Low
2025-10-12,6,15,6,1,Prem Nagar,Rain,372,46.7,Low
2025-07-01,8,15,1,0,ISBT,Clear,1326,34.9,High
2025-06-23,18,15,0,0,Prem Nagar,Fog,887,36.9,Medium
2025-04-06,9,30,6,1,Dharampur Chowk,Rain,834,37.9,Medium
2025-12-30,7,30,1,0,Ballupur Chowk,Clear,512,46.6,Low
2025-09-12,13,30,4,0,Ballupur Chowk,Rain,945,38.2,Medium
2025-04-21,22,30,0,0,Rajpur Road,Clear,625,46.2,Low
2025-07-11,7,15,4,0,Clock Tower,Fog,527,37.5,Low
2025-09-17,6,45,2,0,Prem Nagar,Cloudy,567,48.2,Low
2025-04-08,16,45,1,0,Dharampur Chowk,Rain,543,40.7,Low
2025-06-17,10,0,1,0,Prem Nagar,Cloudy,339,53.4,Low
2025-04-16,7,45,2,0,Ballupur Chowk,Clear,595,43.9,Low
2025-01-03,15,0,4,0,Dharampur Chowk,Clear,616,45.0,Low
2025-06-20,20,0,4,0,Clock Tower,Rain,677,42.2,Medium
2025-01-12,15,15,6,1,ISBT,Cloudy,685,41.1,Medium
2025-04-09,15,30,2,0,Prem Nagar,Rain,535,43.1,Low
2025-08-14,9,30,3,0,Rajpur Road,Cloudy,1198,38.3,High
2025-05-21,9,0,2,0,Prem Nagar,Clear,832,44.3,Medium
2025-04-16,17,30,2,0,ISBT,Cloudy,1501,29.5,High
2025-12-27,15,15,5,1,Rajpur Road,Clear,375,53.0,Low
2025-06-09,16,45,0,0,Clock Tower,Cloudy,640,50.5,Low
2025-01-15,21,0,2,0,Clock Tower,Fog,483,35.0,Low
2025-01-28,8,45,1,0,Ballupur Chowk,Cloudy,1241,41.0,High
2025-12-27,20,30,5,1,ISBT,Rain,528,40.8,Low
2025-04-12,8,45,5,1,Prem Nagar,Cloudy,882,43.9,Medium
2025-02-17,20,0,0,0,Ballupur Chowk,Rain,659,44.9,Medium
2025-12-17,20,45,2,0,Rajpur Road,Cloudy,585,42.7,Low
2025-03-15,14,30,5,1,Ballupur Chowk,Cloudy,834,43.9,Medium
2025-12-25,16,30,3,0,Ballupur Chowk,Fog,429,38.0,Low
2025-01-16,8,45,3,0,Clock Tower,Rain,1212,32.5,High
2025-09-03,20,15,2,0,ISBT,Rain,638,38.6,Low
2025-11-06,10,0,3,0,Ballupur Chowk,Clear,615,43.4,Low
2025-06-16,8,30,0,0,Prem Nagar,Fog,851,37.9,Medium
2025-07-25,19,15,4,0,Prem Nagar,Cloudy,944,38.7,Medium
2025-10-08,11,45,2,0,Ballupur Chowk,Clear,514,45.7,Low
2025-06-24,12,45,1,0,Ballupur Chowk,Rain,563,37.6,Low
2025-10-06,13,15,0,0,Dharampur Chowk,Clear,785,40.8,Medium
2025-12-31,21,0,2,0,Prem Nagar,Fog,406,41.4,Low
2025-06-16,9,45,0,0,Rajpur Road,Rain,995,36.3,Medium
2025-07-27,8,0,6,1,Dharampur Chowk,Fog,718,35.9,Medium
2025-06-17,21,0,1,0,Clock Tower,Cloudy,824,47.2,Medium
2025-03-13,6,15,3,0,Dharampur Chowk,Cloudy,484,50.6,Low
2025-08-20,15,45,2,0,Prem Nagar,Fog,454,37.1,Low
2025-04-11,12,30,4,0,ISBT,Rain,701,44.6,Medium
2025-08-11,17,0,0,0,Prem Nagar,Clear,950,38.7,Medium
2025-11-10,22,45,0,0,Rajpur Road,Rain,607,42.1,Low
2025-02-01,17,0,5,1,Clock Tower,Rain,1118,35.1,High
2025-02-26,15,0,2,0,Rajpur Road,Fog,499,35.9,Low
2025-12-26,18,30,4,0,Dharampur Chowk,Fog,1040,35.7,Medium
2025-07-27,18,45,6,1,Prem Nagar,Cloudy,909,41.9,Medium
2025-12-06,11,45,5,1,Rajpur Road,Cloudy,399,50.8,Low
2025-10-12,18,30,6,1,Ballupur Chowk,Cloudy,1252,36.9,High
2025-05-28,10,15,2,0,Clock Tower,Clear,748,43.3,Medium
2025-11-28,6,15,4,0,Dharampur Chowk,Fog,493,36.9,Low
2025-12-03,19,15,2,0,Clock Tower,Cloudy,1472,33.4,High
2025-11-25,19,45,1,0,Dharampur Chowk,Fog,974,32.0,Medium
2025-11-16,11,45,6,1,Prem Nagar,Fog,320,44.9,Low
2025-10-10,20,45,4,0,ISBT,Cloudy,707,40.1,Medium
2025-04-06,19,0,6,1,Prem Nagar,Fog,847,39.0,Medium
2025-05-02,22,30,4,0,Ballupur Chowk,Rain,466,45.4,Low
2025-01-18,7,45,5,1,Dharampur Chowk,Rain,388,45.2,Low
2025-02-27,21,0,3,0,Rajpur Road,Rain,550,41.4,Low
2025-08-27,22,0,2,0,Prem Nagar,Clear,424,46.9,Low
2025-05-06,21,0,1,0,Dharampur Chowk,Rain,431,41.3,Low
2025-11-10,7,30,0,0,Prem Nagar,Clear,482,46.0,Low
2025-08-29,20,45,4,0,Prem Nagar,Rain,493,47.4,Low
2025-08-04,17,30,0,0,ISBT,Cloudy,1536,33.8,High
2025-01-19,15,30,6,1,Clock Tower,Fog,487,41.5,Low
2025-10-24,11,0,4,0,Dharampur Chowk,Rain,510,44.9,Low
2025-11-16,6,30,6,1,Ballupur Chowk,Clear,577,43.0,Low
2025-03-06,22,0,3,0,ISBT,Rain,705,42.6,Medium
2025-03-09,14,30,6,1,ISBT,Clear,860,42.8,Medium
2025-02-27,11,15,3,0,Dharampur Chowk,Fog,503,39.2,Low
2025-07-09,11,30,2,0,Dharampur Chowk,Cloudy,674,52.5,Medium
2025-09-06,11,0,5,1,ISBT,Clear,537,43.2,Low
2025-03-16,10,45,6,1,Ballupur Chowk,Fog,455,42.7,Low
2025-05-02,20,15,4,0,Rajpur Road,Rain,508,47.1,Low
2025-01-28,14,0,1,0,Clock Tower,Cloudy,952,43.5,Medium
2025-08-26,18,45,1,0,ISBT,Fog,1157,35.6,High
2025-09-30,13,45,1,0,Dharampur Chowk,Fog,847,32.6,Medium
2025-08-31,14,15,6,1,Prem Nagar,Fog,464,43.0,Low
2025-01-07,15,45,1,0,Ballupur Chowk,Rain,539,42.2,Low
2025-09-29,7,0,0,0,Prem Nagar,Rain,440,38.0,Low
2025-08-10,14,30,6,1,ISBT,Rain,828,36.1,Medium
2025-02-20,14,45,3,0,Ballupur Chowk,Cloudy,980,45.3,Medium
2025-12-11,12,30,3,0,Dharampur Chowk,Cloudy,488,50.5,Low
2025-06-10,6,0,1,0,Clock Tower,Clear,635,45.1,Low
2025-07-30,9,0,2,0,Dharampur Chowk,Fog,960,34.3,Medium
2025-06-29,13,30,6,1,ISBT,Cloudy,1013,43.4,Medium
2025-01-18,6,0,5,1,Clock Tower,Cloudy,560,45.2,Low
2025-11-03,9,0,0,0,Clock Tower,Cloudy,1295,34.0,High
2025-07-12,11,0,5,1,Dharampur Chowk,Cloudy,736,48.2,Medium
2025-05-10,15,45,5,1,Dharampur Chowk,Clear,368,45.8,Low
2025-11-24,20,30,0,0,Ballupur Chowk,Rain,608,43.0,Low
2025-05-12,11,0,0,0,ISBT,Clear,750,43.5,Medium
2025-07-15,18,30,1,0,Clock Tower,Rain,1253,33.1,High
2025-05-16,11,45,4,0,Clock Tower,Fog,533,32.7,Medium
2025-04-13,18,15,6,1,Dharampur Chowk,Fog,794,33.1,Medium
2025-02-25,10,45,1,0,Rajpur Road,Clear,599,55.4,Low
2025-08-15,14,0,4,0,Clock Tower,Clear,1038,39.2,Medium
2025-02-06,14,45,3,0,Clock Tower,Fog,881,35.9,Medium
2025-03-18,6,0,1,0,Dharampur Chowk,Fog,482,41.9,Low
2025-05-17,10,30,5,1,Ballupur Chowk,Clear,703,41.6,Medium
2025-09-21,21,45,6,1,Ballupur Chowk,Fog,468,37.5,Low
2025-02-05,13,0,2,0,Ballupur Chowk,Fog,821,32.5,Medium
2025-03-04,17,30,1,0,Dharampur Chowk,Rain,1043,34.2,Medium
2025-07-25,7,0,4,0,ISBT,Rain,714,42.6,Medium
2025-02-11,20,30,1,0,Dharampur Chowk,Cloudy,488,48.2,Low
2025-04-01,7,45,1,0,Dharampur Chowk,Cloudy,531,43.6,Low
2025-06-03,18,0,1,0,Dharampur Chowk,Rain,1059,33.9,High
2025-09-07,8,45,6,1,Dharampur Chowk,Cloudy,1194,39.2,High
2025-03-13,7,15,3,0,Clock Tower,Cloudy,580,45.0,Low
2025-09-08,18,0,0,0,Prem Nagar,Rain,1017,41.7,Medium
2025-09-13,20,0,5,1,Clock Tower,Rain,376,39.0,Low
2025-01-29,16,0,2,0,Ballupur Chowk,Clear,783,45.0,Medium
2025-04-19,22,45,5,1,Dharampur Chowk,Cloudy,430,50.5,Low
2025-10-24,13,0,4,0,Clock Tower,Cloudy,848,42.9,Medium
2025-09-08,6,45,0,0,Prem Nagar,Clear,513,50.4,Low
2025-05-05,10,0,0,0,Rajpur Road,Clear,503,48.1,Low
2025-06-07,9,45,5,1,Prem Nagar,Cloudy,796,44.4,Medium
2025-10-30,8,0,3,0,Clock Tower,Fog,981,31.8,Medium
2025-11-01,13,0,5,1,Rajpur Road,Fog,530,41.4,Low
2025-06-22,18,30,6,1,Clock Tower,Cloudy,1321,35.4,High
2025-06-14,12,0,5,1,Prem Nagar,Cloudy,438,44.4,Low
2025-06-21,8,0,5,1,ISBT,Cloudy,1237,37.2,High
2025-08-01,11,30,4,0,Prem Nagar,Cloudy,721,41.4,Medium
2025-08-13,13,0,2,0,Rajpur Road,Clear,1014,43.5,Medium
2025-11-20,18,15,3,0,Clock Tower,Fog,1145,35.9,High
2025-02-11,6,0,1,0,Rajpur Road,Clear,614,47.4,Low
2025-12-28,15,45,6,1,Dharampur Chowk,Fog,376,45.3,Low
2025-12-21,10,15,6,1,Rajpur Road,Rain,535,40.5,Low
2025-09-25,20,45,3,0,Rajpur Road,Cloudy,508,47.1,Low
2025-11-09,7,15,6,1,Dharampur Chowk,Fog,317,42.3,Low
2025-11-10,8,30,0,0,ISBT,Fog,1229,28.1,High
2025-01-03,13,15,4,0,Clock Tower,Clear,1005,40.8,Medium
2025-11-13,17,15,3,0,Ballupur Chowk,Cloudy,1487,27.0,High
2025-05-22,7,15,3,0,Clock Tower,Cloudy,642,46.5,Low
2025-12-17,21,45,2,0,Rajpur Road,Cloudy,710,43.4,Medium
2025-12-10,7,0,2,0,Dharampur Chowk,Rain,354,46.8,Low
2025-05-26,12,45,0,0,ISBT,Rain,585,38.1,Low
2025-11-12,20,0,2,0,Clock Tower,Clear,608,45.8,Low
2025-10-03,11,15,4,0,Clock Tower,Fog,478,33.6,Medium
2025-09-21,9,0,6,1,Rajpur Road,Fog,867,38.4,Medium
2025-10-31,16,45,4,0,Rajpur Road,Rain,578,38.3,Low
2025-04-28,9,30,0,0,Rajpur Road,Clear,1153,38.5,High
2025-05-02,19,15,4,0,Ballupur Chowk,Cloudy,1467,36.0,High
2025-02-07,21,45,4,0,Clock Tower,Fog,467,40.6,Low
2025-03-16,12,45,6,1,Rajpur Road,Fog,434,45.2,Low
2025-07-11,10,45,4,0,Dharampur Chowk,Cloudy,645,48.2,Low
2025-11-20,17,30,3,0,Rajpur Road,Rain,1129,38.1,High
2025-03-07,7,0,4,0,ISBT,Cloudy,774,41.4,Medium
2025-02-26,20,45,2,0,Ballupur Chowk,Cloudy,777,46.0,Medium
2025-06-25,13,30,2,0,Prem Nagar,Cloudy,749,42.9,Medium
2025-11-23,11,15,6,1,Clock Tower,Fog,471,41.7,Low
2025-09-25,21,15,3,0,Prem Nagar,Fog,405,42.1,Low
2025-08-25,14,0,0,0,Dharampur Chowk,Fog,823,38.5,Medium
2025-05-07,13,30,2,0,Ballupur Chowk,Cloudy,1035,43.0,Medium
2025-10-30,10,0,3,0,Ballupur Chowk,Clear,551,48.3,Low
2025-01-21,21,0,1,0,Ballupur Chowk,Fog,651,37.0,Medium
2025-09-03,9,45,2,0,Ballupur Chowk,Cloudy,1263,35.0,High
2025-02-12,6,45,2,0,Rajpur Road,Cloudy,527,45.1,Low
2025-07-03,15,15,3,0,Dharampur Chowk,Clear,530,43.2,Low
2025-01-09,21,30,3,0,Rajpur Road,Fog,469,43.0,Low
2025-10-20,6,45,0,0,Ballupur Chowk,Cloudy,592,51.1,Low
2025-12-27,18,15,5,1,ISBT,Fog,1066,34.9,High
2025-12-27,6,0,5,1,Ballupur Chowk,Rain,432,46.4,Low
2025-09-29,7,30,0,0,Ballupur Chowk,Rain,483,45.8,Low
2025-12-24,12,0,2,0,Prem Nagar,Rain,452,45.2,Low
2025-01-29,22,30,2,0,Clock Tower,Clear,564,44.3,Low
2025-07-16,17,45,2,0,Prem Nagar,Clear,1087,36.6,High
2025-07-07,17,15,0,0,Dharampur Chowk,Clear,1233,33.3,High
2025-10-15,12,15,2,0,ISBT,Cloudy,810,39.7,Medium
2025-10-04,9,45,5,1,Dharampur Chowk,Cloudy,1044,42.0,Medium
2025-04-26,16,30,5,1,ISBT,Fog,424,42.7,Low
2025-05-22,7,0,3,0,ISBT,Rain,657,39.0,Medium
2025-08-20,21,0,2,0,Ballupur Chowk,Rain,489,37.1,Low
2025-08-20,17,0,2,0,Rajpur Road,Fog,1026,27.6,Medium
2025-02-14,8,45,4,0,Rajpur Road,Rain,1060,34.1,High
2025-02-09,9,15,6,1,ISBT,Clear,1256,36.2,High
2025-12-23,10,45,1,0,Rajpur Road,Cloudy,587,48.8,Low
2025-09-24,6,30,2,0,Ballupur Chowk,Cloudy,692,46.1,Medium
2025-08-31,17,45,6,1,Ballupur Chowk,Clear,1186,33.5,High
2025-05-30,12,0,4,0,Clock Tower,Cloudy,751,46.1,Medium
2025-09-24,16,45,2,0,Prem Nagar,Rain,357,44.2,Low
2025-12-02,16,45,1,0,Prem Nagar,Fog,386,41.1,Low
2025-08-23,15,15,5,1,ISBT,Cloudy,657,49.9,Medium
2025-05-14,13,45,2,0,ISBT,Rain,1062,30.9,High
2025-01-25,10,30,5,1,ISBT,Fog,530,43.4,Low
2025-03-27,11,30,3,0,Rajpur Road,Cloudy,645,49.1,Low
2025-12-29,10,15,0,0,Rajpur Road,Clear,745,47.4,Medium
2025-01-22,16,15,2,0,Ballupur Chowk,Rain,590,44.7,Low
2025-07-09,11,15,2,0,Prem Nagar,Clear,499,47.9,Low
2025-12-07,16,30,6,1,Rajpur Road,Rain,419,48.7,Low
2025-08-18,11,30,0,0,Clock Tower,Clear,592,51.1,Low
2025-07-27,21,15,6,1,Ballupur Chowk,Rain,524,38.3,Low
2025-03-21,6,30,4,0,Dharampur Chowk,Rain,533,36.1,Low
2025-08-31,15,15,6,1,Prem Nagar,Fog,381,44.2,Low
2025-06-23,9,45,0,0,Clock Tower,Cloudy,1334,36.3,High
2025-12-14,9,30,6,1,Clock Tower,Fog,1051,30.5,High
2025-11-13,13,45,3,0,ISBT,Clear,999,45.2,Medium
2025-06-17,7,15,1,0,Prem Nagar,Cloudy,668,45.5,Medium
2025-05-23,12,0,4,0,Clock Tower,Fog,607,42.4,Low
2025-12-13,8,45,5,1,Rajpur Road,Fog,736,35.0,Medium
2025-06-12,22,0,3,0,Dharampur Chowk,Rain,603,46.4,Low
2025-07-23,10,45,2,0,ISBT,Fog,610,35.6,Low
2025-07-10,6,30,3,0,ISBT,Rain,795,37.0,Medium
2025-06-07,20,0,5,1,Rajpur Road,Fog,370,42.7,Low
2025-08-01,20,30,4,0,Rajpur Road,Fog,592,41.1,Low
2025-08-01,10,0,4,0,Rajpur Road,Cloudy,647,47.1,Low
2025-06-05,21,30,3,0,Clock Tower,Fog,529,41.1,Low
2025-02-15,6,45,5,1,Dharampur Chowk,Rain,226,45.9,Low
2025-08-01,11,45,4,0,Dharampur Chowk,Cloudy,607,42.9,Low
2025-04-13,11,45,6,1,ISBT,Fog,511,39.1,Low
2025-01-22,15,30,2,0,Ballupur Chowk,Fog,647,42.5,Low
2025-04-25,6,0,4,0,Rajpur Road,Rain,489,42.6,Low
2025-06-03,21,0,1,0,Dharampur Chowk,Rain,498,41.5,Low
2025-08-02,11,45,5,1,Dharampur Chowk,Cloudy,515,45.4,Low
2025-01-15,9,30,2,0,Ballupur Chowk,Clear,1177,40.1,High
2025-11-03,17,45,0,0,Prem Nagar,Fog,882,32.0,Medium
2025-05-13,21,0,1,0,ISBT,Clear,778,42.0,Medium
2025-05-13,11,0,1,0,Rajpur Road,Rain,546,44.7,Low
2025-08-25,10,30,0,0,Rajpur Road,Clear,582,48.0,Low
2025-05-20,17,45,1,0,Dharampur Chowk,Rain,1035,34.6,Medium
2025-01-25,15,30,5,1,Prem Nagar,Clear,397,47.1,Low
2025-09-21,12,15,6,1,Clock Tower,Cloudy,573,42.2,Low
2025-10-06,16,30,0,0,Dharampur Chowk,Rain,465,42.5,Low
2025-05-19,17,0,0,0,Prem Nagar,Rain,915,36.2,Medium
2025-03-15,6,15,5,1,Prem Nagar,Rain,367,46.2,Low
2025-07-10,21,45,3,0,ISBT,Cloudy,812,41.5,Medium
2025-02-22,12,15,5,1,Prem Nagar,Cloudy,338,47.0,Low
2025-04-07,22,0,0,0,Ballupur Chowk,Fog,468,39.3,Low
2025-02-09,9,15,6,1,Clock Tower,Fog,833,31.2,Medium
2025-06-28,15,30,5,1,Rajpur Road,Fog,361,42.4,Low
2025-11-02,22,30,6,1,Rajpur Road,Rain,495,41.3,Low
2025-01-15,9,15,2,0,Rajpur Road,Cloudy,1195,35.1,High
2025-12-19,13,30,4,0,Rajpur Road,Cloudy,939,39.0,Medium
2025-03-08,8,45,5,1,Dharampur Chowk,Clear,998,35.4,Medium
2025-02-09,6,45,6,1,Ballupur Chowk,Clear,509,48.6,Low
2025-04-11,9,0,4,0,Dharampur Chowk,Clear,1135,46.9,High
2025-08-29,9,30,4,0,Clock Tower,Clear,1344,32.8,High
2025-06-04,6,0,2,0,Clock Tower,Cloudy,683,39.9,Medium
2025-10-28,12,15,1,0,Dharampur Chowk,Rain,498,40.4,Low
2025-01-15,8,15,2,0,Dharampur Chowk,Rain,1082,32.9,High
2025-10-24,17,30,4,0,Rajpur Road,Cloudy,1301,34.5,High
2025-09-16,8,0,1,0,Prem Nagar,Clear,1114,38.1,High
2025-09-28,12,15,6,1,ISBT,Cloudy,777,46.3,Medium
2025-10-03,6,0,4,0,Rajpur Road,Fog,506,40.9,Low
2025-07-07,11,45,0,0,Dharampur Chowk,Clear,592,40.8,Low
2025-04-03,17,45,3,0,Ballupur Chowk,Cloudy,1397,37.6,High
2025-09-21,13,45,6,1,Clock Tower,Rain,768,34.8,Medium
2025-03-05,20,0,2,0,Prem Nagar,Cloudy,507,52.9,Low
2025-09-11,17,30,3,0,Prem Nagar,Clear,1139,38.5,High
2025-02-12,16,45,2,0,Clock Tower,Fog,602,37.3,Low
2025-05-26,20,30,0,0,Dharampur Chowk,Fog,312,39.8,Low
2025-04-26,19,30,5,1,Ballupur Chowk,Cloudy,1331,35.2,High
2025-02-05,21,30,2,0,Rajpur Road,Clear,565,46.0,Low
2025-12-12,21,0,4,0,Ballupur Chowk,Fog,659,42.5,Medium
2025-09-25,8,0,3,0,Rajpur Road,Fog,1113,30.6,High
2025-07-25,9,15,4,0,Clock Tower,Rain,1208,28.2,High
2025-04-12,16,15,5,1,Prem Nagar,Fog,449,37.1,Low
2025-03-04,13,45,1,0,Dharampur Chowk,Fog,705,33.6,Medium
2025-05-23,14,45,4,0,ISBT,Fog,819,32.8,Medium
2025-12-08,18,45,0,0,Prem Nagar,Rain,887,35.7,Medium
2025-03-17,20,0,0,0,Clock Tower,Rain,548,44.7,Low
2025-09-08,21,15,0,0,Dharampur Chowk,Cloudy,500,48.5,Low
2025-01-16,9,0,3,0,Clock Tower,Fog,1150,29.0,High
2025-12-14,6,15,6,1,Ballupur Chowk,Rain,427,43.2,Low
2025-03-20,15,0,3,0,Clock Tower,Fog,620,38.7,Low
2025-08-27,12,30,2,0,Dharampur Chowk,Fog,406,42.7,Low
2025-09-09,22,30,1,0,Prem Nagar,Rain,350,47.0,Low
2025-10-04,6,0,5,1,Ballupur Chowk,Clear,571,45.9,Low
2025-07-16,20,30,2,0,Ballupur Chowk,Fog,439,38.1,Low
2025-08-24,7,0,6,1,Rajpur Road,Rain,490,46.7,Low
2025-12-28,11,45,6,1,Ballupur Chowk,Cloudy,514,49.0,Low
2025-06-09,18,45,0,0,Clock Tower,Fog,956,31.6,Medium
2025-12-04,21,45,3,0,Prem Nagar,Cloudy,509,45.0,Low
2025-09-17,7,45,2,0,ISBT,Fog,490,38.0,Low
2025-10-30,18,30,3,0,ISBT,Rain,1380,29.7,High
2025-02-01,6,0,5,1,Rajpur Road,Rain,268,39.8,Low
2025-06-28,6,30,5,1,Ballupur Chowk,Clear,490,49.4,Low
2025-08-08,17,30,4,0,Ballupur Chowk,Rain,996,34.3,Medium
2025-01-29,13,15,2,0,Rajpur Road,Rain,765,43.2,Medium
2025-10-31,8,0,4,0,ISBT,Clear,1382,36.4,High
2025-06-22,11,0,6,1,Prem Nagar,Rain,384,38.1,Low
2025-01-20,20,45,0,0,Prem Nagar,Fog,451,41.2,Low
2025-05-17,6,45,5,1,Prem Nagar,Clear,455,60.0,Low
2025-06-12,18,45,3,0,ISBT,Clear,1341,41.0,High
2025-09-08,9,15,0,0,ISBT,Fog,1108,32.0,High
2025-09-15,16,15,0,0,Prem Nagar,Rain,435,42.5,Low
2025-07-06,19,15,6,1,Ballupur Chowk,Clear,1103,40.2,High
2025-10-02,12,30,3,0,ISBT,Clear,585,48.9,Low
2025-06-02,18,15,0,0,Prem Nagar,Clear,1006,37.2,Medium
2025-10-24,9,30,4,0,ISBT,Clear,1377,39.1,High
2025-10-18,22,45,5,1,Ballupur Chowk,Cloudy,522,48.6,Low
2025-06-27,8,30,4,0,Prem Nagar,Rain,819,40.6,Medium
